Job Title,Job Description
DevOps Engineer,"5 years of experience in OpenShift andor Kubernetes experience
3 years of experience in CICD DevOps
5 years of experience with containerizationorchestration technologies tools like Kubernetes Docker Rancher Mesos and Swarm
Certification in AWS SysOps or equivalent DevOps experience is desired
Advanced handson experience Kubernetes dockers
Expertise in designing and setting up faulttolerant OpenShift and AWS ELK clusters
Thorough understanding of AB BlueGreen deployments
Deep understanding and experience with git
Kubernetes OpenShift on Kubernetes on AWS ELK or onprem environments
Experience with configprovisioning tools like AnsibleTerraform Chef Puppet or Salt
NetworkingDNSCertificates
Security scanning vulnerability
Database installation and management
Experience in Monitoring tools like Grafana
Experience in ELK and log streaming
Experience in Service meshes in production microservice applications
Linux RHEL preferred
Scriptingdevelopment skills Python and Bash scripting are preferred
Team player that fully embraces DevOps culture eliminate barriers and bridge moats
Good verbal and written communication skills
Government or large organization experience
Skills
Experience working with Amazon Web Services and strong experience with cloud primitives such as VPC Identity and Access Management IAM
Handson experience Gitlab CICD pipeline
Experience SCM tools such as Git
Hands on experience in AWS infrastructure with Ansible Configuration Management Docker Microservices Terraform or CloudFormation Infraascode Gitlab CICD
Experience with scripting and automated process management via scripting such as Go Bash or Python
Configuration experience in SonarQube
Handson deployment maintenance of MongoDB Redis Logstash Kibana
Excellent experience in Cloud based services AWS
Excellent experience in App monitoring Prometheus Grafana etc
Ability to code deploy and support large scale enterprisegrade 100 microservices architectures
Designs develops enhancements to the application when identified by creating new components
Understands 24x7 support issues and how to avoid the need to be on the phone at 3 AM
Experience with performance analysis optimization debugging and monitoring
Designs develops automation when the opportunity arises
Prepare and present system documentation and analysis
SSH into individual Linux servers to review logs and triage problems
Build deploy and source code maintenance of new versions of applications in the AWSOpenShift hosting environment
Be able to define Continuous IntegrationContinuous Delivery pipelines GitLab CI
Experience writing InfrastructureasCode using Terraform or AWS CloudFormation
Proficiency in scripting using Bash Python
Experience with networking concepts like Routing SNMP Web Application Firewalls Load Balancing and VPNs utilizing products including those from Cisco Brocade Fortinet andor F5
Solid understanding of networking concepts and troubleshooting
Perform system monitoring backup deployment and maintenance in daily basis
Continuously identifying new tools ideas to improve the whole process of production systems
ExtraAwesome If You Have
Driven to achieve a high level of client and customer satisfaction
Exceptional problemsolving skills
Ability to work independently and within a team as a technical SME
Passion for delivering highquality technical solutions
Strong crisis management skills
Strong oral and written communication skills including presentation skills with both technical and nontechnical audiences
Natural enthusiasm and ability to learn cutting edge technologies
AWS Certified Solutions Architect OpenShift Expert
Awareness of EC2 Systems Manager and Parameter Store
Understanding of large scale data challenges
Experience using Docker and Kubernetes CLI experience
Job Types Fulltime Contract Permanent
Salary From Rp25000000 per month
Experience
OpenShift andor Kubernetes 5 years Required
CICD DevOps 3 years Required
Kubernetes Docker Rancher Mesos and Swarm 5 years Required
Location
Jakarta Required"
Java Developer,"Infosys is seeking a Senior Java Spark Developer This positions primary responsibility will be to translate software requirements into working and maintainable solutions within the existing application frameworks The chosen candidate will apply technical proficiency across different stages of the Software Development Life Cycle gather accurate requirements and work closely with stakeholders to prioritize tasks and the scope of development The role will require thorough knowledge in Spark Java programming with strong attention to detail ability to identify errors and make adjustments in a testing environment while contributing towards developing and adhering to bestpractices for developing applications that are scalable relevant and critical to the project When you join Infosys you do more than just navigating your career You become part of Infosys family a group of dynamic passionate work force who believe in driving innovation embracing change At Infosys teamwork collaboration are encouraged excellence is rewarded and diversity is respected and valued
Basic Qualifications
Candidate must be located within commuting distance of Providence RI or be willing to relocate to the area
Bachelors degree or foreign equivalent required from an accredited institution Will also consider three years of progressive experience in the specialty in lieu of every year of education
US citizens and those authorized to work in the US are encouraged to apply We are unable to sponsor at this time
At least 4 years of experience with Information Technology
Strong hands on experience in Spark Java programming
Preferred Qualifications
At least 67 years of experience in Spark and Java Programming
Knowledge in Bigdata Hadoop Spark Hive Scoop
Knowledge in Java Spring framework
Should have basic level understanding of HTML CSS JavaScript
Exposure to Snowflake Nifi Kafka preferred
Experience in Jenkins InteliJ Git
Thorough knowledge understanding of Oracle DB
Should have experience in usingsetting up DevOps CICD pipeline
Work exposure in Agile projects Good understanding of Agile ceremonies including tools like JIRA
Strong Communication Skills and capability to deal with businessclients
Good analytical skills experience in software development life cycle
Experience willingness to work in global delivery environment
The job entails sitting as well as working at a computer for extended periods of time Should be able to communicate by telephone email or face to face Travel may be required as per the job requirements
About Us
Infosys is a global leader in nextgeneration digital services and consulting We enable clients in 46 countries to navigate their digital transformation
With over three decades of experience in managing the systems and workings of global enterprises we expertly steer our clients through their digital journey We do it by enabling the enterprise with an AIpowered core that helps prioritize the execution of change We also empower the business with agile digital at scale to deliver unprecedented levels of performance and customer delight Our alwayson learning agenda drives their continuous improvement through building and transferring digital skills expertise and ideas from our innovation ecosystem
EOEMinorityFemaleVeteranDisabledSexual OrientationGender IdentityNational Origin
To learn more about Infosys and see our ideas in action please visit us at wwwInfosyscom"
Network Administrator,"Network Administrator Linux Administrator Jobs In Kaizen IT Services Pvt Ltd Posted On 29th October 2020Company Name Kaizen IT Services Pvt Ltd Designation Network Administrator Linux Administrator Education BADiploma Location Burdwan Durgapur Experience 3 6 years Salary Rs300000 Rs350000 JOB PROFILE Position Network Engineer L2 with CCNA CertificationExperience 5Yrs relevant working exp into network Network L2 Monitor MPLS link network utilization and call logging activities Health monitoring of routercore switch and all managed switches network equipment Firewall administration configuration change management troubleshooting Router load balancer configuration management change management troubleshooting Network trouble shooting and end user support active devices Network trouble shooting and end user support passive devices New network setup or network extension Network optimization activities Manage and strengthen network security Wireless device management setup fault finding IP management Call logging activities with HCLOEM and call coordination Backups Ensuring daily backup activities as per policy Backup restoration activities Loadingunloading and tranfer of Tapesmedias Schdeuling backups user data backups etc Disaster management Position Linux Server L2 with Redhat Certification Data center Linux Server Operations Server health monitoring including log checking dashboards server events New server installation system migration new service rolloutdeployment OS kernel patch managementdeployment Domain User management User creationPw resetAccount unlockUser deletionGPO RHEL RHEV Windows server 2012 admin mgmt AD Domain DNS DHCP mgmt admin Antivirus server management administration AV patch management Device management Server Hardening mgmt Scheduling managing batch jobs
Perform defined SOPs periodically User Access rights and authorisations Storage and disk space monitoring LUN mgmt Server fault troubleshooting L1 support Call logging activities with HCLOEM and call coordination Server room temperature monitoring Converting alerts to tickets followups closure Print server and spool maintenance Assist in Project planning and design Monitor Application availability alerts notifications startupshutdown of all application instances Mail Exchange server administration including mailbox management migration retention Execute regular housekeeping jobsQualification Any Graduate 3 Yrs DiplomaJob location PanagarhNotice period Immediate 15 daysSalary 3 35LPA CTCshare your CV on nirajthakur kaizencarenet remove space after to apply on mailIf having relevant exp then can call on 8609940445 In between 100AM to 500PM Monday to SatFull Time"
Network Administrator,"This specific role is focused on expertise in Public cloud AWS Azure GCP etc Infrastructure Operations for managing workload comprising of WindowsLinux virtual instances deployed ensuring processes and standards adherence
Responsibilities
Install and configure cloud instances and related services
Ongoing management of client workload deployed in Public cloud AWS Azure GCP etc
Infrastructure operations incidentrequest aligned to ITIL process and delivering SLA around availability RTO RPO
Troubleshoot Infrastructure specific issues reported by client
Maintaining security posture aligned to Industry standards such as ISO27001 SSAE 16 etc
Cost optimization with effective capacity planning and process optimization
Automation of routine operational activities
Reporting and providing insights to Cloud engineering team for optimization cloud solution
Stakeholder management both internal and external
Exp1 year3 years
Location Sodala Jaipur
Job Type Fulltime
Salary 1000000 2500000 per month
Experience
3 years 1 year Preferred
Work Remotely
No"
Node js developer,"Job Details
Requirement Type Permanent
Job Title Opening for Node JS
Job Level Executive NonManagerial
Job Description Node JS
No of Openings 12
Job Domain IT
Experience Minimum NoOf Years 30
Experience Maximum NoOf Years 60
Degree Any
Specialisation
Skills Node JS
Expected Date Of Joining 20201127
Joining Time 20 Days
Salary 40000
Work Locations Chennai
Required Skills
Node JS"
Wordpress Developer,"Job Summary
Design themes using HTML CSSSASS Bootstrap and WordPress
Maintain existing WordPress client sites
QA sites during staging and after deployment
Create clean DRY and reusable code
Keep yourself and the team up to date with JIRA kanban flow work boards
Work with Lead and junior developers as a team from start to finish
Responsibilities and Duties
Fluency with WordPress PHP MySQL HTML5 CSSSASS and Frameworks with Responsive design
PHP frameworks knowledge and MVC understanding
Skilled working with vanilla JavaScript jQuery and other JavaScript libraries Angular or React
Knowledge of version control GIT
Attend meetings with inhouse account managers and project leads to discuss technical requirements timeframes mockupswireframes and scope of work
Working both independently and with other developers
Ability to work on multiple projects at the same time
Adhering to best practices comments in code and documentation
2 year of experience with WordPress and PHP
Willingness to learn Advance WP CMS and Liquid templating for custom theme development
Experience building custom themes plugins and widgets
Experience working with thirdparty APIs SOAP REST and other Facebook and Twitter
Required Experience and Qualifications
Key Skills
Strong knowledge of web performance optimization caching Experience working with WP Engine Server Environment Benefits Additional Notes We are offering amazing career growth opportunities great compensation and benefits This begins with weekly lunches alternate weekendsoff annual medical checkups social engagement financial assistance and more
Required Experience and Qualifications
3 to 4 Years of working experience in WordPress is required
Benefits
Perks Benefits Culture
We are offering amazing career growth opportunities great compensation and benefits This begins with 
weekly lunches
alternate weekendsoff
Halfday working Saturdays
annual medical checkups
Social engagement
financial assistance
Diwali Bonuses
and more
Job Type Fulltime
Salary 2500000 4500000 per month
Experience
WordPress 2 years Required
total work 3 years Required
Magento 2 years Preferred
Education
Bachelors Required
Industry
IT Operations Helpdesk"
JavaScript Developer,"Required Experience
0 to 2 years
Qualification
BE ME BTech MTech MCA
Key Skills
Angular JS Node JS React JS jQuery ES6
Work Location
Ahmedabad
Job Description 
Candidate will get the opportunity to be involved in interface design improving user experience build SPA and more
Will be responsible for Design build and configure applications to meet business process and application requirements
Will be working Angular JS Node JS React JS jQuery ES6
Responsible for working with cross platform hybrid mobile applications in Ionic React Native
Must be a good team member and should be able to quickly adapt to changing requirements scope and priorities"
Java Developer,"Responsibilities for this profile are shared as below
Work experience as a senior Java developer or similar role
Having good knowledge of any RDBMS eg Oracle MySQL Experience Designing building and testing Java EE application
Knowledge of Java frameworks like JSF and Spring MVC
Experience with Object Orient Design OOD
Ability to work independently
Good delegations and time management skills
Has a good attitude with keens to adapt to new technologies
Job Types Fulltime Fresher WalkIn
Salary 800000 1000000 per month
Schedule
Day shift
Experience
total work 1 year Preferred
JSP 1 year Preferred
java 1 year Preferred
Education
Bachelors Preferred
Licence
Java SE 7 Programmer Preferred
Work Remotely
No"
Machine Learning,"Job Description
We are looking for a Data Scientist that will help us discover the information hidden in vast amounts of data and help us make smarter decisions to deliver even better products Your primary focus will be in applying data mining techniques doing statistical analysis and building high quality prediction systems integrated with our products
Responsibilities
 Selecting features building and optimizing classifiers using machine learning techniques
 Data mining using stateoftheart methods
 Extending companys data with third party sources of information when needed
 Enhancing data collection procedures to include information that is relevant for building analytic systems
 Processing cleansing and verifying the integrity of data used for analysis
 Doing adhoc analysis and presenting results in a clear manner
 Creating automated anomaly detection systems and constant tracking of its performance
Required Skills
 Excellent understanding of machine learning techniques and algorithms such as kNN Naive Bayes SVM Decision Forests etc
 Experience with common data science toolkits such as R Perl Python SparkML Weka NumPy MatLab etc
 Experience with data visualization tools such as D3js GGplot etc
 Proficiency in using query languages such as SQL Hive Pig
 Experience with NoSQL databases such as MongoDB Cassandra HBase
 Experience with Hadoop or similar distributed computing and storage platforms
 Good applied statistics skills such as distributions statistical testing regression etc
 Good scripting and programming skills
 Exceptional analytical abilitiescreativity and attention to details
 Good organizational and problem solving skills
 Good team player who is a selfstarter and well organized
 Strong oral and written communication skills
Required Education
 Graduate degree in Math Statistics Computer Science or other quantitative discipline
Please email your resume to careersgtpltechcom"
Django Developer,"Python Django developer
46 years of experience
Develop test and deploy scalable web applications
AWS deployment experience in elastic beanstalk EC2 S3 and others
WebRTC for live streaming and real time communications
AI machine learning libraries experience in Numpy Scipy Scikitlearn Theano TensorFlow Keras PyTorch Pandas Matplotlib or any other related libraries
Good experience in developing Backend REST APIs using Django REST framework
Good experience in creating database structure using MySQL or any other database
Frontend development with HTML5 CSS3 javascript and jQuery an added advantage
Expected Start Date 5102020
Job Type Fulltime
Salary 3500000 7000000 per month
Experience
total work 4 years Preferred
Python 4 years Required
Education
Bachelors Preferred
Location
Bengaluru Karnataka Required
Work Remotely
Temporarily due to COVID19"
