Job Title,Job Description
Machine Learning,"Department Development
Location Noida
Experience 1 2 years
Joining Time Immediate
The ideal candidate should have experience in the latest techniques in Artificial Intelligence Natural Language Processing Machine Learning including Deep Learning approaches Experiences in realtime collaboration is a plus
Responsibilities
Use NLP and ML techniques to bring order to unstructured data
Experience in extracting a signal from noise in large unstructured datasets a plus
Work within the Engineering Team to design code train test deploy and iterate on enterprisescale machine learning systems
Work alongside an excellent crossfunctional team across Engineering Product and Design
Required Skills
Experience in applying machine learning techniques Natural Language Processing or Computer Vision
Strong analytical and problemsolving skills
Solid software engineering skills across multiple languages including but not limited to Java or Python CC
Problem solver able to work independently and be comfortable with deadlines and milestones
Deep understanding of ML techniques such as classification clustering deep learning optimization methods supervised and unsupervised techniques
Good communication skills and an easygoing attitude
Proven ability to apply debug and develop machine learning models for realworld applications
Previous industry work experience required
Experience building applications for the enterprise customer"
Node js developer,"Experience 1 year to 3 years
Location Varachha Road Surat Satellite Road Ahmedabad
Description
We are looking for a passionate Nodejs Developer to join our company The ideal candidate will be an enthusiastic developer eager to learn and grow hisher skills in the field someone who is highly interested in designing and developing a robust scalable system for web mobile application
Required Skills
Strong Concept in C C
Sound knowledge in HTML CSS JavaScript Jquery
GoodTo have candidate with sound knowledge in Node JS
Key Responsibilities
Minimum Bachelors degree in Computer Science
Work experience level fresh graduate minimum 1 year
Fluent with JavaScript and strong understanding of Computer Science fundamentals ie Algorithms Data Structures
Experience with Nodejs and frameworks available for it eg Express Socketio to build RESTful APIs
Basic understanding of User Authentication
Ability to write maintainable pluggable modular clean code
Understanding of NoSQL databases like MongoDB
Creating database schemas that represent and support application processes
Understanding the nature of asynchronous programming and its quirks and Work around
Knowledge of version control Git"
Network Administrator,"Role Purpose
The Senior OKTA Administrator will provide subject matter expertise in IAM domain and Okta IdaaS solution Platform and support Project and Program teams to enable successful integration with Okta for enabling Single SignOn and Identity Life cycle management integration for onpremise and SaaS applications
Key accountabilities of role
Develop Support and extend the deployment of existing Identity and Access management solution deployed using Okta IdaaS SaaS solution
Integration of applications with Okta for enabling Single Signon using standard integration protocols and patterns including SAML OpenID Connect Microsoft WSFed Integrated Windows Authentication and other authentication patterns
Ongoing governance and reporting of Okta IdaaS solution and ensuring compliance to Information security policies
Provide Okta API based development solutions
Strong Issue resolution and Problem Management with focus on Root Cause Analysis and Root Cause Corrective Action 
Manage regular reviews with other domain SMEs for complex enterprise wide IT Implementations across multiple towers including applications Middleware and other solution offerings
Continuous improvement and Industry best practices to ensure operational stability drive Service improvement projects across the enterprise with internal stakeholders and external partner service delivery teams
Experience in providing L3 support for Okta IdaaS solution in large complex enterprise environments
Demonstrable experience and industry best practice implementation of identity and access management solutions and related offerings viz SSO SAML OIDC OAuth WSFed Kerberos Provisioning Recertification SCIM etc
Qualifications Experience
The Senior OKTA Administrator would need to have at min 3 years of experience with deployment and support of Okta IdaaS solution offerings in Project and support roles and minimum 5 years with L3 support experience
Demonstrable experience working on large complex IdaaS project implementation and support Designing and implementing Identity and Access Management solutions to support critical systems and business programs
Prior experience with other IAM solutions in the market place both on premise and Cloud based IdaaS solutions eg Onelogin Forgerock Ping Identity Oracle IBM CA etc will be an advantage
Extensive demonstrable experience with technologies and protocols to support identity federation and robust access control models eg SAML 20 WSFederation OAuth OpenID Connect SCIM etc
Working knowledge of enterprise web technologies Information and Network security solutions IaaS and PaaS services
Demonstrable experience with Enterprise identity life cycle management processes and standards
Microsoft Active Directory Azure Active Directory and LDAP experience is mandatory
Previous experience working on Enterprise Identity life cycle management projects both on premise deployments and SaaS deployments eg Salesforce Box Office 365 Workday HR as master for identities
Experience developing Connectors for various applications for Identity life cycle management and Group Role management and integration with Identity management systems
Professional Certifications
Required Okta Certified Professional and Okta Certified Administrator
Preferred Okta Certified Consultant
Contract length 12 months
Application Deadline
Expected Start Date ASAP
Job Type Contract
Salary From 10000000 per month
Schedule
Day shift
Monday to Friday
Experience
total work 6 years Required
Okta 3 years Required
Education
Bachelors Preferred
Application Question
Minimum Notice Period required
Work Remotely
Temporarily due to COVID19"
Backend Developer,"Requirements
Compile and analyze data processes and codes to troubleshoot problems and identify areas for improvement
Collaborating with the frontend developers and other team members to establish objectives and design more functional cohesive codes to enhance the user experience
Developing ideas for new programs products or features by monitoring industry developments and trends
Recording data and reporting it to proper parties such as clients or leadership
Participating in continuing education and training to remain current on best practices learn new programming languages and better assist other team members
Taking lead on projects as needed
Bachelors degree in computer programming computer science or a related field
More education or experience may be required
Fluency or understanding of specific languages such as Laravel codeigniter PHP or Python and operating systems may be required
Strong understanding of the web development cycle and programming techniques and tools
Focus on efficiency user experience and process improvement
Excellent project and time management skills
Strong problem solving and verbal and written communication skills
Ability to work independently or with a group
Willingness to sit at a desk for extended periods
RoleSoftware Developer
Industry Type Application Development Company
Functional AreaIT Software Application Programming Maintenance
Employment TypeFull Time Permanent
Role CategoryProgramming Design
Job Types Fulltime Volunteer Fresher
Salary 1500000 3000000 per month
Experience
Programming 1 year Required
total work 1 year Preferred
IT COMPANY 1 year Preferred
Education
Bachelors Required
Location
Surat Gujarat Required"
Node js developer,"Job Description
We are looking for a Nodejs Developer responsible for managing the interchange of data between the server and the users Your primary focus will be the development of all serverside logic definition and maintenance of the central database and ensuring high performance and responsiveness to requests from the frontend
Responsibilities
Integration of userfacing elements developed by frontend developers with serverside logic
Writing reusable testable and efficient code
Design and implementation of lowlatency highavailability and performant applications
Implementation of security and data protection
Integration of data storage solutions
Skills And Qualifications
Strong proficiency with JavaScript
Knowledge of Nodejs and frameworks available for it such as Express StrongLoop etc depending on your technology stack
Understanding the nature of asynchronous programming and its quirks and workarounds
Good understanding of serverside templating languages
Good understanding of serverside CSS preprocessors
Basic understanding of frontend technologies such as HTML5 and CSS3
Understanding accessibility and security compliance Depending on the specific project
User authentication and authorization between multiple systems servers and environments
Integration of multiple data sources and databases into one system
Understanding fundamental design principles behind a scalable application
Understanding differences between multiple delivery platforms such as mobile vs desktop and optimizing output to match the specific platform
Creating database schemas that represent and support business processes
Implementing automated testing platforms and unit tests
Proficient understanding of code versioning tools such as Git
Contract length 12 months
Job Types Fulltime Contract Fresher
Salary 12000000 35000000 per year
Schedule
Day shift
Supplemental Pay
Overtime pay
Performance bonus
Yearly bonus
Experience
software development 1 year Preferred
work 1 year Preferred
Education
Bachelors Required
Work Remotely
No"
Software Engineer,"Were looking for a seasoned software engineer who would work on next generation technologies that touch millions of customers worldwide
Were a team of 5000 ambitious curious people building marketplace platforms that make it super easy for anyone to buy and sell almost anything boosting local economies
What you will be doing
You will be writing highquality code using object oriented principles with 100 unit and integration tests
You will be Translating high level business problems into scalable design and code Creating libraries for larger consumption define APIs and own end to end services
Mentoring junior engineers while optimizing application architectures for DockerKubernetesAWS and using microservices best practices logging metrics database etc
You will ensure platform and application readiness in terms of capacity performance monitoring and stability
You will influence product requirements and operational plans Instill best practices for development and champion their adoption while working with product manager to estimate and plan projects in agile development framework
Who were looking for
A strong technologist at OLX cares about code modularity scalability and reusability as the problems we solve today become the foundation for and thrives ambiguous environment rapidly changing environment continuously adapting and bringing newer solutions An ideal candidate should
Have deep expertise in Object Oriented design principles using any modern language preferably Java
Have experience in building and maintaining large scale web applications in service oriented architecture
Knowledge of design patterns and an uncanny ability to design intuitive module and class level interfaces with experience in data model designing in SQLNOSQLs
Have knowledge of at least one of the databases like MySQL Postgresql or Oracle and one of the NOSQLs like DynamoDB MongoDB Cassandra Aerospike etc
What well give you
A thrill of building and managing global products that is used daily by millions world over
Learning is not just on the job but we have dedicated training budgets to upskill our engineers
Global Product and Tech culture With 5 technology centers world over collaborating together the experience and learning increased manifold
Openness and Ownership You build you deploy and you manage 360 degree view of entire product development process
Great peers and teams With people joining us from Amazon Google Snapdeal other top startups in India and top companies across the globe we have a great team
What you need to know about us
At OLX Group we have a clear ambition to empower millions of people across the globe by helping them connect and share their goods and services This inspiring purpose has helped us build one of the worlds leading Internet companies This combination of business and purpose attracts a certain type of person If youve got an entrepreneurial drive and think you can use that drive to contribute to our purpose then wed love to empower you to be successful
OLX is a part of the OLX Group a global product and tech company with 17 brands 40 countries 5000
people and one mindset
Our mission is to make it super easy for people to buy and sell almost anything boosting local economies
We are proud to be different and we work differently too We combine the spirit and agility of a startup
with the maturity that comes from being part of a 100yearold company
We are curious ambitious and allergic to corporate interference We improvise experiment and push
each other further embracing uncertainty and driving change"
Wordpress Developer,"We are looking for a WordPress developer having 13 years of experience in coding WordPress themesplugins The candidate must have good knowledge WordPress functionshookswidgets etc
What You Will Be Doing
Code and implement WordPress sites from Photoshop layout through HTMLCSS to a custom theme functions and plugins
Ability to compare a Photoshop layout to a coded page and pick out the differences is key
Design and implement new features enhancements and content for existing websites
Create and update reusable code libraries to streamline WordPress development cycle
Develop system test criteria and participate in systems testing
Respond to isolate and resolve programming problems
Facilitate client WordPress training site documentation and maintenance
What You Need for this Position
Documented experience in delivering websites using WordPress understanding its strengths and weaknesses
Setup of WordPress options plugin installation and configuration
Expertise in building responsive and scalable sites for all platforms
Proficient in PHP HTML5 CSS3 JavaScript and jQuery
Experience with version control systems like GitSvn etc
Bachelors Degree or higher in a related field is preferred"
Backend Developer,"Opening of Backend Developer in IT Company Delhi
Skills Required Very strong understanding and handson in WordPress Laravel Python
Interested Candidates Can Send Their Resume To Whatsapp number 9212306116
For any queries please contact 9212306116 8860646116
Thanks Regard
Hr Team
Web Infomatrix Pvt Ltd
B68 2nd Floor 40 FT Road
Chanakya Place C1 Janakpuri
New Delhi 110059
Job Type Fulltime
Salary 1500000 3500000 per month
Schedule
Day shift
Experience
total work 1 year Required"
Flutter Developer,"Job Summary
We are looking for the senior core PHP developer for our team Working closely with the development team lead you will be able to work independently to create code and add value to the project team
Responsibilities and Duties
Create multiplatform apps for iOSAndroid using the Flutter development framework
Flutter SDK Dart programming language
Experience with mobile platforms like AndroidiOS
Flutter widgets for iOS Android
Participation in the process of analysis designing implementation and testing of new apps
Developing mobile applications in Flutter
Apply industry standards during the development process to ensure high quality
Key Skills
UI Material design Material animations Custom components User Interactiontouches gestures
Core Dart Multithreading FlutterPub Rx Dart Job Queue
Communication Networking HTTP REST Dio Cached Network Image Firebase Socket JSON XML SMS Bluetooth NFC
Build Pubspec Gradle infoplist
Work Experience
Min 2 Years
Employment Type
Full Time"
Node js developer,"Position Node JSSr Node JS Developer
Location Vadodara Gujarat
Experience Min 2 Years
Responsibilities 
 Integration of userfacing elements developed by frontend developers with server side logic
 Writing reusable testable and efficient code
 Design and implementation of lowlatency highavailability and performant applications
 Implementation of security and data protection
 Integration of data storage solutions may include databases keyvalue stores blob stores etc
Skills And Qualifications
 Strong proficiency with JavaScript
 Knowledge of Nodejs and frameworks available for it such as Express StrongLoop etc depending on your technology stack
 Understanding the nature of asynchronous programming and its quirks and workarounds
 Good understanding of serverside templating languages such as Jade EJS etc depending on your technology stack
 Good understanding of serverside CSS preprocessors such as Stylus Less etc depending on your technology stack
 Basic understanding of frontend technologies such as HTML5 and CSS3
 Understanding accessibility and security compliance
Job Type Fulltime
Salary 1500000 4500000 per month
Schedule
 Monday to Friday
Experience
 Node JS 2 years Required
Location
 Vadodara Gujarat Required"
