Job Title,Job Description
Database Administrator,job tracking id 512100623154 job location philadelphia pa tampa fl west reading pa job level mid career 2 year level education babs job type fulltimeregular date updated july 12 2018 year experience 2 5 year starting date asap job description fortna professional service software company looking linuxvmware administrator administer test evaluate implement hardware software dealing specifically fortna warehouse execution system wes trained flexible work home office minimal travel needed primary responsibility include architecting implementing operating managing integrating complex enterprise system infrastructure internally externally client deliverable defining maintaining technology integration model conceptual logical application infrastructure pattern service providing expertise guidance peer leadership associate overall infrastructure architecture relates software department s solution strategy providing technical expertise assisting selection new hardware software platform assist attaining enterprise architecture principle policy standard documenting infrastructure architecture environment procedure ensure infrastructure remains costeffective efficient high quality assisting design setup fortnaclient secure remote vpn connection assisting supporting fortna provided infrastructure client producing highquality project qa infrastructure design documentation providing remote support troubleshooting new legacy wes system installing new rebuilding existing server configuring hardware peripheral service setting directory storage etc accordance standard projectoperational requirement installing configuring system wes infrastructure application asset management application researching recommending innovative possible automated approach system administration task administration 3rd party middleware application used part wes solution glassfish application server active message queue experience skill bachelor degree computer science related field equivalent 2 year linux system admexperience 2 year network topology infrastructure expertise 2 year vmware experience vmware certification eager learn positive cando attitude strong problem solving skill exposure oracle database administration plus strong understanding virtual private networking working knowledge server workstation infrastructure strong understanding high availability protocol architecture ability keep technology trend emerging best practice consistently evolve current solution working knowledge storage area network network attached storage system working knowledge unix compliant command line interface ability understand diagnose clientserver architecture excellent oral written communication skill ability clearly articulate project member stakeholder must team player work well technical nontechnical resource ability work flexible schedule outside normal business hour inclusive weekend little advance notice minimal travel linux rheloelcentos specific administration experience experience network monitoring solution experience supporting software configuration management system previous experience glassfish activemq prefer near one office location tampa fl west reading pa atlanta ga training flexibility work combination home office fortna office location based need
Django Developer,"Experience 2 Year Gurugram Haryana
Designation Django Developer
DESCRIPTION
We are looking for Python Django Web Developer Candidates should be experienced Candidate should be able to speak the conversational English language
REQUIRED SKILLS
Knowledge of Python and Django Framework
Basic knowledge of HTML Javascript and CSS3
Unit Testing and Debugging code
Understanding GIT AWS EC2 RDS Route 53 S3
Interested candidates can share resume at infoconsolebitcom"
Node js developer,"Node JS Developer 15 yrs
Department App BackendMobilityWeb Development Number Of Positions 2
We are looking for a Nodejs Developer responsible for managing the interchange of data between the server and the users Your primary focus will be the development of all serverside logic definition and maintenance of the central database and ensuring high performance and responsiveness to requests from the frontend You will also be responsible for integrating the frontend elements built by your coworkers into the application Therefore a basic understanding of frontend technologies is necessary as well
Job Type Fulltime
Salary Rs 20000000 55000000 per year
Experience
Candidate should have 6 Months to 4 years
Mongodb 1 year Required
Node 1 year Required
Strong proficiency with JavaScriptKnowledge of Nodejs MongoDB REST API 12 SocketIO Expressjs Parsecom HTML CSS Angular and frameworks available for it Understanding the nature of asynchronous programming and its quirks and workarounds Good understanding of serverside templating languages Understanding accessibility and security complianceUser authentication and authorization between multiple systems servers and environments Integration of multiple data sources and databases into one system Understanding fundamental design principles behind a scalable application Understanding differences between multiple delivery platforms such as mobile vs desktop and optimizing output to match the specific platform Creating database schemas that represent and support business processes Proficient understanding of code versioning tools such as Git Good understanding of at least one Node js development frameworks such as Express js Hapi js etc If the person is familiar with Mac development environment that would be even better Candidates minimum qualification should be graduation BTechBEBCA"
Software Engineer,"Nokia is a global leader in the technologies that connect people and things With stateoftheart software hardware and services for any type of network Nokia is uniquely positioned to help communication service providers governments and large enterprises deliver on the promise of 5G the Cloud and the Internet of Things
Serving customers in over 100 countries our research scientists and engineers continue to invent and accelerate new technologies that will increasingly transform the way people and things communicate and connect
Nokia is an equal opportunity employer that is commited to diversity and inclusion
At Nokia employment decisions are made regardless of race color national or ethnic origin religion gender sexual orientation gender identity or expression age marital status disability protected veteran status or other characteristics protected by law
Years of experience
69 years
Education
BEBTechMTechMCA in Computer ScienceElectronicsElectricalInformation ScienceTelecom
GradeLevel JG 8 6 to 9 years of experience 
Skills Required
Strong experience in designing and developing applications using Java SE and EE
Strong experience in Multithreading
Strong experience in testing frameworks Junit Jmockit Easy Mock
Strong experience in Spring Framework
Experience in WEB standards and technologies REST SOAP XML
6 Good understanding in security aspects like TLS TCP knowledge of linux permissions certificates security algorithms
7 RD Experience in Agile Kanban is a plus
Good to have
Test AutomationROBOT tool Selenium
Scripting experience with ShellPerlPython
Knowledge of LDAP X500 and Tools like Wireshark etc are added advantage
Telecom domain know how
Cloud Principles
6 Experience in containerization knowhow in Dockers Kubernetes 
Soft Skills
Selfstarter able to make progress with minimal supervision
Good Communication Skills and Presentation Skills
Strong collaborative leadership skills
Years of experience
36 years
Education
BEBTechMTechMCA in Computer ScienceElectronicsElectricalInformation ScienceTelecom
GradeLevel JG 7 3 to 6 years of experience 
Apply now"
Flutter Developer,"Job Responsibilities
Design and build advanced applications for the Android and iOS platform Collaborate with crossfunctional teams to define design and ship new features Work with outside data sources and APIs Unittest code for robustness including edge cases usability and general reliability Work on bug fixing and improving application performance Continuously discover evaluate and implement new technologies to maximize development efficiency
Skills Required
BSMS degree in Computer Science Engineering or a related subject Proven software development experience and Android skills development Proven working experience in Flutter app development and Have published at least one original Android app Experience with Android SDK Experience working with remote data via REST and JSON Experience with thirdparty libraries and APIs Working knowledge of the general mobile landscape architectures trends and emerging technologies Solid understanding of the full mobile development life cycle"
Backend Developer,"JOB DESCRIPTION 
Project Completion Experiences of PHP Framework
Experience and ability to build plugins from detailed briefs and mockups using best practices clean reusable and expandable code
Extensive knowledge and experience of building WordPress CMS websites using the best practice de facto standard plugins PSD HTML to WordPress conversion migration
Someone who has a very strong analytical sense who works well with JavaScript and PHP and understand deeply how to use those technologies to develop for WordPress
developing frontend websites and applications using HTML CSS JavaScript jQuery PHP
Candidate must have experience of WordPress Plugin and Theme development and
customization
In depth knowledge of MySQL database and Oops Concepts
Job Type Fulltime
Salary 2000000 5000000 per month
Schedule
Day shift
Work Remotely
No
Speak with the employer
91 8146711885"
Full Stack Developer,fueled fundamental belief access financial service creates opportunity paypal nasdaq pypl committed democratizing financial service empowering people business join thrive global economy open digital payment platform give paypal 237 million active account holder confidence connect transact new powerful way whether online mobile device app person combination technological innovation strategic partnership paypal creates better way manage move money offer choice flexibility sending payment paying getting paid available 200 market around world paypal platform including braintree venmo xoom enables consumer merchant receive money 100 currency withdraw fund 56 currency hold balance paypal account 25 currency applying job required create account already created account click sign creating account allow follow progress application note provide full legal first namefamily name capitalize first letter first last name example john smith nt capitalize entire first andor last name example john smith note use correct grammar name multiple case example mcdonald oconnell provide full address detail resume required multiple attachment uploaded including resume cover letter application job description summary paypal p2p web team looking talented fullstack software engineer strong javascript programming experience design build paypal solution next gen p2p experience re looking talented javascript application developer passion user experience desire question assumption make product better across board member product development team play important role developing product solution delivering feature support new business initiative kind engineer passionate bringing great experience life craftsman engineering love working collaborative environment product experience partner want talk position forefront delivering new experience million paypal user involved concept rollout major say paypal user see job description responsibility include design write high quality high performance web based application participate development life cycle activity like release planning coding testing production release work closely product manager feature requirement deliver highest quality feature participate fixing production issue required skill bsms degree preferably computer science related field proven working experience software development deep familiarity javascript server side javascript framework nodejs experience remote data via restful apis json solid understanding full web development life cycle passion designing engineering rich user interface disciplined approach testing quality assurance handson knowledge version control system git ability think logically diagnosetriage driven execute follow desired skill experience client side javascript framework react angular knowledge html cs jquery subsidiary paypal travel percent 0 primary location san jose california united state america additional location re purposedriven company whose belief foundation conduct business every day hold one team behavior demand hold highest ethical standard empower open diverse workplace strive treat everyone touched business dignity respect employee challenge status quo ask question find solution want break barrier financial empowerment join u change way world defines financial freedom paypal provides equal employment opportunity eeo person regardless age color national origin citizenship status physical mental disability race religion creed gender sex pregnancy sexual orientation gender identity andor expression genetic information marital status status regard public assistance veteran status characteristic protected federal state local law addition paypal provide reasonable accommodation qualified individual disability
Machine Learning,"Req ID93123
We create smart innovations to meet the mobility challenges of today and tomorrow We design and manufacture a complete range of transportation systems from highspeed trains to electric buses and driverless trains as well as infrastructure signalling and digital mobility solutions Joining us means joining a truly global community of more than 38 900 people dedicated to solving realworld mobility challenges and achieving international projects with sustainable local impact
RESPONSIBILITIES
Design and develop datadriven analysis models for importing of text document requirements structured and nonstructured data
Design models and pipeline for pre processing of data and automatic classification based on Machine Learning Artificial Intelligence models
Identify analyze and interpret trends and patterns in complex data to provide answers to Operationalservice questions
Present data and analysis in a clear and concise manner to allowing audience to quickly understand results and recommendations to make datadriven decisions
Work collaboratively with engineering and product development teams and crossfunctional partners develop execute and maintain analytic
EDUCATION
BTech BEMEMTechMS in Computer Science Information Technology EE EEE
BEHAVIORAL COMPETENCIES
Be Innovative and demonstrate to peers and implement in creation of code libraries reusable codes and modelbased developments
Demonstrate excellent communication skills and able to guide influence and convince others in a matrix organization
Team Player
TECHNICAL COMPETENCIES EXPERIENCE
Proven experience as developer in AIMLNLP
Experience in data mining Text Mining working and creating data architectures
Knowledge of Ontology is an asset
Analytical mind and business acumen
Strong mathematics skills eg statistics algebra probability
Experience in cloud services eg PaaS and SaaS Rest API serverless functions
Understanding of Compute Engines VM Containers is nice to have
Problemsolving aptitude
SOFTWARE SKILLS
25 years of proven experience in developing and implementing common NLP frameworks and languages including NLTK Spacy Stanford NLP BERT TFIDF Wordnet
Knowledge of Topic Modelling Sentiment analysis Summarization Semantic analysis Entity identification OCR and Word Embedding Vectors and other machine learning deep learning capabilities using unstructured text datasets
Experience with implementationdeployment of NLP pipeline
Understanding and experience with leading supervised and unsupervised machine learning methods such as Regression Neural Networks Deep Learning KNN Naive Bayes SVM Decision Trees Random Forest Gradient Boosting Ensemble methods text mining
Must have strong development experience in Python and NLP ML packages
Experience in C JavaScript or Java is additional advantage
IT Skills MS office tools Word Excel PowerPoint
LANGUAGE SKILLS
Proficient in English language
Good written and Verbal communication skills
An agile inclusive and responsible culture is the foundation of our company where diverse people are offered excellent opportunities to grow learn and advance in their careers We are committed to encouraging our employees to reach their full potential while valuing and respecting them as individuals
Job Segment Product Development Developer Java Computer Science Cloud Research Technology"
Flutter Developer,"Responsibilities
Design and Build sophisticated and highly scalable apps using Flutter
Build custom packages in Flutter using the functionalities and APIs already available in native Android and IOS
Translate and Build the designs and Wireframes into hight quality reaponsive UI code
Write efficient queries for core Data
Use of ModelViewController MVC and ModelViewViewModelController MVVM as it relates to designing developing architecture and developing maintainable testable and functional software that meets product requirements
Explore feasible architectures for implementing new features
Resolve any problems existing in the system and suggest and add new features in the complete system
Suggest space and time efficient Data Structures
Follow the best practices while developing the app and also keeping everything structured and well documented
Use CICD for smooth deployment
Document the project and code efficiently
Manage the code and project on Git in order to keep in sync with other team members and managers
Communicate with the Project Manager regarding status of projects and suggest appropriate deadlines for new functionalities
Ensure security guidelines are always followed while developing the app
Validate the cloud system to ensure any new changes do not compromise security of the backend server
Suggest new features andor enhancements
Consulting with our customer facing representatives about software system design and maintenance
Interact with the Clinical Specialists and Product Manager to help understand enduser feedback
Maintaining software through product lifecycle including design development verification and bug fixes
Connect regularly with the Quality Assurance Specialist to deliver stable app
Resolve all the bugs reported by the Quality Assurance Specialist in a timely manner
Perform time profiling and memory leaks assessment
Execute app verification protocol
Write tests for the App
Following company policies and quality procedures to ensure quality product deliverables
Requirements
Must Have
Flutter To build cross platform mobile apps for Android IOS and Web This should include from making responsive UIs to efficiently query data and also mange states in an optimized mannner
Native Android and IOS To build custom Flutter Packages
Firebase Should have experience with Cloud Firestore Push Notifications Cloud Functions and Analytics
Adobe XD Should know how to use Adobe XD to use the design file and use it to build the app
Git To manage and collaborate in different projects with the rest of the team
Good To Have
Angular
Bootstrap
JavaScript
Job Type Fulltime
Salary 21920600 113748600 per year
Benefits
Cell phone reimbursement
Commuter assistance
Food allowance
Paid sick time
Paid time off
Work from home
Schedule
Day shift
Evening shift
Flexible shift
Monday to Friday
Morning shift
Night shift
Rotational shift
Weekends
Supplemental Pay
Commission pay
Joining bonus
Overtime pay
Performance bonus
Quarterly bonus
Shift allowance
Yearly bonus
Experience
flutter 1 year Required
total work 1 year Preferred
Education
Bachelors Preferred
Work Remotely
Temporarily due to COVID19
Speak with the employer
91 7709311224"
Node js developer,"Job Summary
Logicode Inc is looking for an experienced Nodejs Developer for Ahmedabad location The candidate will be closely working with the development team to create Serverside logics as per requirements and integrating front end elements developed by colleague Experience of more than two years would be a big plus
Responsibilities and Duties
Integration of data storage solutions API integration
Taking care of security and data privacy aspects while developing application
Project deployment and Maintenance
Write deploy and debug code to production server
Database design using MySQL
Familiar with version control tools like Git
Required Experience and Qualifications
Strong hands on experience in Java Script
Proven experience of working on NodejsLoopbackExpress
Strong knowledge in Ngnix
Strong knowledge in Redis and caching
Expertise on RDBMS like MySQL
Knowledge on jQuery and Ajax
Proven experience in Object orients programming
Basic experience of HTML CSS
Experience in web services or REST APIs will be beneficial
Experience on Angular and react JS is a plus"
