Job Title,Job Description
PHP Developer,"Job Name PHP Developer
Job Role Developer
Industry ITSoftware
Job Location Surat Gujarat
Experience 1 to 3 Year
Salary Best in the industry
Skills Core PHP Laravel Codeigniter MVC
Education BTech MCA BCA
Job Description
We are looking for a PHP Developer responsible for managing backend services and the interchange of data between the server and the user developer primary focus will be the development of all serverside logic definition and maintenance of the central database and ensuring high performance and responsiveness to requests from the frontendhe will also be responsible for integrating the frontend elements built by your coworkers into the application therefore a basic understanding of frontend technologies is necessary as well
Responsibilities
Integration of userfacing elements developed by frontend developersBuilding efficient testable and reusable PHP componentsSolving complex performance problems and architectural challengesStrong grasp on PHP as a language and knowledge of its quirksKnowledge of object oriented PHP programmingStrong knowledge of PHP and its extensive feature setUnderstanding of basic CakePHP conventions and patternsKnowledge of PHPs objectrelational mapping ORMKnowledge of PHPs suite of helpers and their use in the presentation layerBasic understanding of frontend technologies such as JavaScript HTML5 and CSS3Integration of multiple data sources and databases into one systemUser authentication and authorization between multiple systems servers and environmentsFamiliarity with SQLNoSQLMySQL databases and their declarative query languagesUnderstanding accessibility and security complianceProficient understanding of code versioning tools such as GitObjectoriented application building experience in a professional AgileScrum environmentThorough understanding of relational databases such as MySQL or similar technologiesExcellent coding skill in PHP Nodejs jsCssHtml Proficiency in Linux environmentExpert knowledge with MVC frameworks CakePHP Zend Laravel Symfony etcExperience with Sass andor LessUnderstanding of User Interface workflowsKnowledge working closely with gitExcellent communication skills and being able to work independently or in a full teamExperience in test automation and testdriven developmentExperience with AWSEC2 or other cloud servicesExperience in PHPintegration of userfacing elements developed by frontend developersBuilding efficient testable and reusable PHP componentsSolving complex performance problems and architectural challengesIntegration of data storage solutionsStrong grasp on PHP as a language and knowledge of its quirksKnowledge of object oriented PHP programmingStrong knowledge of PHP and its extensive feature setUnderstanding of basic PHP conventions and patternsKnowledge of PHPs objectrelational mapping ORMFamiliarity with the Fat Model Skinny Controller approachKnowledge of CakePHPs suite of helpers and their use in the presentation layerBasic understanding of frontend technologies such as JavaScript HTML5 and CSS3Understanding fundamental design principles behind a scalable applicationIntegration of multiple data sources and databases into one systemUser authentication and authorization between multiple systems servers and environments"
Java Developer,"Infosys is seeking a Senior Media Developer Lead JavaJ2EE This position will interface with key stakeholders and apply your technical proficiency across different stages of the Software Development Life Cycle including Requirements Elicitation Application Architecture definition and Design play an important role in creating the high level design artifacts deliver high quality code deliverables for a module lead validation for all types of testing and support activities related to implementation transition and warranty be part of a learning culture where teamwork and collaboration are encouraged excellence is rewarded and diversity is respected and valued
Required Qualifications
Candidate must be located within commuting distance of Woodbury NY or be willing to relocate to the area This position may require travel in the US
Bachelors degree or foreign equivalent required from an accredited institution Will also consider three years of progressive experience in the specialty in lieu of every year of education
At least 4 years of Server development experience
Experience with CableMedia domain
Experience in JAVAJ2EE server applications
Experience in developing multithreaded Server applications
Experience in developing REST web services
Experience in developing python webapplications
Experience with Agile development methodologies
US citizens and those authorized to work in the US are encouraged to apply we are unable to sponsor at this time
Preferred Qualifications
Experience in working in Cassandra
Experience in Redis
Experience in PLSQL
Experience with web technologies like JavaScript MERNMEAN stack jQuery preferred
Knowledge and experience with full SDLC lifecycle
Experience with Agile development methodologies
Good analytical and logical skills
Good debugging skills and experience in troubleshooting application server related issues
Working experience with HP ALM Jira and other tracking and defect monitoring tools
Experience and desire to work in a Global delivery environment
The job entails sitting as well as working at a computer for extended periods of time Should be able to communicate by telephone email or face to face Travel may be required as per the job requirements
About Us
Infosys is a global leader in nextgeneration digital services and consulting We enable clients in 46 countries to navigate their digital transformation
With over three decades of experience in managing the systems and workings of global enterprises we expertly steer our clients through their digital journey We do it by enabling the enterprise with an AIpowered core that helps prioritize the execution of change We also empower the business with agile digital at scale to deliver unprecedented levels of performance and customer delight Our alwayson learning agenda drives their continuous improvement through building and transferring digital skills expertise and ideas from our innovation ecosystem
To learn more about Infosys and see our ideas in action please visit us at wwwInfosyscom
EOEMinorityFemaleVeteranDisabledSexual OrientationGender IdentityNational Origin"
Machine Learning,"OUR STORY
JioSaavn is South Asias leading music streaming service We are over 200 entrepreneurs across New York California Mumbai Gurgaon and Bangalore who help music lovers access discover and listen to their favorite songs across languages and genres In early 2018 a merger between JioMusic and Saavn was announced creating a combined entity valued at over 1 billion
We blend digital technology data analysis which we have affectionately coined Music Science and a strong fearless business acumen to reach all corners of the globe Through partnerships with Apple Google Amazon Facebook Twitter and Shazam to name a few JioSaavn reaches more music fans across the world Our awardwinning mobile products partnerships innovations and thought leadership have been featured in some of the worlds leading publications from The New York Times to The Wall Street Journal The Economic Times to Forbes and many more We are wellfunded by some of the worlds most successful institutional investors and global media companies as well as a number of strategic individuals Beyond investing they are advisors and supporters of our vision our passion and our collective ability to deliver a revolutionary music experience as the leader in India
OUR CULTURE
At JioSaavn we ignite passion and performance to work towards a collective goal creating the perfect mobile entertainment ecosystem that delivers the best possible music experience to millions of listeners around the world Our default mode is that of perpetual innovation Together we form a concerted rhythm that goes beyond borders We dont just go with the flow we create it
JioSaavn offers a dynamic and unconventional work environment full of fun wholesome experiences from inoffice performances by some of the worlds most beloved musicians to opportunities for international travel We believe creativity and technology blend together like sweet melodies When you choose JioSaavn you join a diverse world of highcalibre techies artists and inventors hailing from companies like Yahoo Twitter LinkedIn Google Qualcomm HBO Microsoft Flipkart Amazon Paytm Quikr MSN and NDTV We are one of the few digital companies to provide employment opportunities that meet the Silicon Valley benchmark right here in Mumbai Figures since weve got Silicon Valley covered too
Our valuebased peoplefirst work culture is about empowering every individual in our global team to be catalysts for change in this dynamic digital world Every day is an opportunity to bring your vision to life and to expand learn and grow No idea is left unconsidered No voice is left unheard
With listeners speaking multiple languages in almost every country in the world we like to think we have the most diverse user base on the planet This has only been made possible because of the value we place on radical inclusivity in our offices across the globe We believe different is wonderful and what sets us apart is also what brings us closer JioSaavn prides itself on being an equal opportunity employer We have committed ourselves to creating a safe environment with fair and equal access and opportunities sans discrimination We encourage everyone to be open to experiences and perspectives beyond their normal divergent thinkers create differentiated products and even better music
If our vibe matches with yours wed love to hear from you
ROLE RESPONSIBILITIES
End to end product tracking events structuring implementation with engineering teams QA This includes working with the engineers to ensure that every featurenew product release has all relevant events are properly tested and can deliver relevant metrics to the Prod Owners
Defining documenting all the structural changes in events communicate them to the relevant teams
Partnering with DataInfra BI teams to help build out our data platforms infrastructure
Providing assistance to the Product Team with data analysis and guide the product decisions based on insights from data validation AB Testing
Creating reports on their findings and communicating next steps to key stakeholders
Documenting and speaking clearly the complex ideas findings
REQUIREMENTS
Have 12 years of data analyst experience
Adept in writing optimised SQLHive Query knowledge about Big Data framework
Strong hold in scripting languages like PythonR
Proficiency in webproduct analytics tools like Google analytics Amplitude web analytics etc
Basic Understanding of statisticalpredictive modelling and segmentation techniques
Proficient in working with advanced Excel and Powerpoint
Be great in translating data to insights report writing and relevant visualisations
Strong communicationinterpersonal skills along with an eye for detail
Demonstrated knowledge of and skill in decision making customer service interpersonal relations problem solving project management quality management written communication results orientation strategic thinking
Experience in the technology industry with the bigdata infra will be a bonus
BENEFITS AND PERKS
At JioSaavn we blur work and play and you get all the perks of a global company You will get to work with a dynamic group of entrepreneurs who are delivering results and working zealously across time zones to make a difference in the way the world experiences music We love what we do and we think you will too
Work days Monday to Friday weekends off
Group Mediclaim
Fun Fridays
Flexible vacation policies
Free healthy and unhealthy lunches snacks
JioSaavn sponsored team outings
Powered by JazzHR"
DevOps Engineer,"Job ID 97288
Who are we
At Amdocs our purpose is to enrich lives and progress society With our creativity and technology we help make a better connected world Amdocs and its 25000 employees serve the leading players in the communications and media industry enabling nextgeneration experiences in 85 countries Our cloudnative open and dynamic portfolio of digital solutions platforms and services brings greater choice faster time to market and flexibility to better meet the evolving needs of our customers as they drive growth transform and take their business to the cloud Listed on the NASDAQ Global Select Market Amdocs had revenue of 41 billion in fiscal 2019 For more information visit Amdocs at httpwwwamdocscom
In one sentence
Responsible for automating and maintaining complicated installations none production and production environments and process of software development and testing
All you need is
Bachelors Degree in Computers or related field
Total Experience 2 to 4 years
Mandatory
Experience in writing deployment and full life cycle for complicated systems and defining architecture requirements for deployment and automations
At least 2 years of experience in DevOps development and support experience like Jenkins CICD Nexus NPM GIT Maven
At least 2 years of experience in Deployment tools Ansible playbooks and roles Kubernetes and Containers Docker
At least 2 year of experience in scripting tools bash Python Perl Groovy PowerShell
At least 2 years of experience in Public cloud development AWS Google or private Clouds OpenStack VMWare
Experience in DevOps tools monitoring and tracing tools security logging
Experience in Linux like Ubuntu RHEL ALM
Team Worker with good interpersonal communication and fast learning skills
Highly adaptive to any type of work environment and technology
Nice to have
At least 1 year of Azure Cloud environment experience
At least 1 year of experience in exposure to any objectoriented language like Java or similar
What will your job look like
You will drive the automation of multiple parts of infrastructure and deployment systems striving to improve and shorten processes to enable engineering and operations teams work smarter and faster
You will collaborate with related product development teams to drive automation of configuration management build release deployment and monitoring processes including teams instruction on the developed tools
You will work with IT and development in order to create the integration and continuity of the code holding holistic view of their working environments
You will support engineering and operations teams to meet infrastructure needs
You will provide professional support for the developed automations responding to incidents in an effort to avoid system outages or restore availability to meet SLAs
You will monitor AWS instances and other web based applications
You will lead the integration between product infrastructure system and Amdocs infrastructure system
You will design and develop infrastructure interfaces and stay abreast of industry best practices and contribute ideas for improvements in DevOps practices delivering innovation through automation to enable standard deployable units of infrastructure through multiple environments into production
You will research new technology on the market
You will plan design program and implement new technology in accountsproducts life cycle
You will participate in the planning design and implementation efforts
Why you will love this job
You will be have the opportunity to lead the integration between a major product infrastructure system and the Amdocs infrastructure system driving automation helping teams work smarter and faster
You will be a key member of a global dynamic and highly collaborative team with various possibilities for personal and professional development
You will have the opportunity to work in multinational environment for the global market leader in its field
Amdocs is an equal opportunity employer We welcome applicants from all backgrounds and are committed to fostering a diverse and inclusive workforce"
PHP Developer,"Urgent opening in PHP Developer Code igniter Rest Api Mysql
Exp 3 to 6 years
What we are looking at
Expert knowledge of Core PHP
Knowledge of HTML5 CSS3Bootstrap
Knowledge of Java Script JQuery JSON
Strong knowledge of PHP web frameworks like CodeIgniter
Strong knowledge of the common PHP or web server exploits and their solutions
Ability to develop modules in adherence to a given architecture
Experience with source control systems such as GIT
Knowledge of working with rest API
Strong knowledge of the Relational database mysql
Job Type Fulltime
Salary 3000000 7000000 per month
Benefits
Paid sick time
Paid time off
Schedule
Day shift
Supplemental Pay
Performance bonus
Experience
PHP Deve 3 years Required
Education
Bachelors Preferred
Work Remotely
Temporarily due to COVID19
Speak with the employer
91 8356987898"
Django Developer,"Job Description
Job Responsibilities
Designing Developing enhancing and managing the codebase
Developing solutions to meet assigned targets for project scope and provide demos to team as appropriate
Collaborate with team for innovative ideas
Proactively review elaborate and implement defined requirements including user interface functional and nonfunctional requirements
Create architectural and codelevel documentation sharing this and other technical knowledge with the team
Interface with technical and nontechnical personnel andor team members to finalize requirements
Perform unit testing report results and makes recommendations to improve software code performance and scalability
Required Experience
Bachelors Degree in Engineering Computer Science or a related field
2 years of engineering experience with a proven track record of building consumer web and mobile applications or services
Expert in Python Django and responsive front end design Bootstrap Foundation etc
Experience with version control systems git and cloud based services AWS
Selfmotivated and accountable
Strong communication skills verbal and written"
Machine Learning,"About the company
RoadMetrics provides an accurate efficient and portable solution to all road problems Our smartphone application provides detailed road assessments in realtime using our artificial intelligence algorithm thus helping governments and private firms to expedite road maintenance
About the internshipjob
Selected interns daytoday responsibilities include 1 Design implement and evaluate novel computer vision algorithms and models 2 Work on largescale datasets creating scalable robust and accurate computer vision systems 3 Build endtoend data pipelines to handle and manage large amounts of data 4 Go through the images manually sometimes and label them debug models or interact with clients to create a custom model for them 5 Work in Python Open CV and deep learning frameworks like TensorFlow Keras
Who can apply
Only those students or freshers can apply who
are available for full time inoffice internship
have relevant skills and interests
can start the internship between 9th Dec20 and 13th Jan21
are available for duration of 3 months
have already graduated or are currently in any year of study
Females willing to startrestart their career may also apply
Number of internshipsjobs available 1
Categories Computer VisionMachine LearningComputer ScienceEngineeringData Science"
Django Developer,"Required Skills
 Min 1 years of work experience as a Python Developer
 Expertise in Django framework
 Knowledge of objectrelational mapping ORM
 Familiarity with frontend technologies like JavaScript and HTML5
 Working knowledge of MongoDB and MySQL
 Experience of building RESTful APIs
 Familiarity with eventdriven programming in Python
 Knowledge of user authentication and authorization between multiple systems servers and environments
 Able to create database schemas that represent and support business processes
 Strong unit test and debugging skills
 Proficient understanding of github JIRA
 Worked with Django application deployment on AWS Heroku platforms
 Excellent communication and teamwork skills
 Great attention to detail
Good to have
 Early joiners preferred"
iOS Developer,"Areas of Specialization iOS Application Development
Educational Qualification Engineering Graduate BSc IT CS MCA
Experience Min 34 years experience in iOS application development Fluent in Swift and ObjectiveC programming"
Java Developer,"Company Description
Crown Equipment Corporation is a leading innovator in worldclass forklift and material handling equipment and technology As one of the worlds largest lift truck manufacturers we are committed to providing the customer with the safest most efficient and ergonomic lift truck possible to lower their total cost of ownership
Primary Responsibilities
 Code modify and debug web based applications in the Net Framework or Java using additional technologies including Spring Angular HTML JavaScript and CSS
 Perform code review of team members to learn new techniques while providing code quality review
 Assist in analysis of interacting systems to ensure changes made to one system will not impact other systems Work closely with the Business Analyst to ensure proper documentation of requirements
 Prepare technical specifications and other system and programming documentation in accordance with internal standards
 Provide knowledge transfer to Support and Operations personnel related to changes to systems
 Work with Quality Analysts to ensure changes are thoroughly tested before release Write unit and integration tests for new code Assist with the diagnosis of problematic applications and system testing
 Stay informed of advances and pertinent changes in hardware and software technologies
Minimum Qualifications
 Understanding of Object Oriented programing principles why they work and how to best use them
 A high school diploma or equivalent is required
 24 years experience required Salarylevel will commensurate with experience
Preferred Qualifications
 Experience with Scrum and Kanban desired
 Good written verbal analytics and interpersonal skills
 Familiar with TestDriven Development
 Knowledgeable of ServiceOriented Architecture
Work Authorization
Crown will only employ those who are legally authorized to work in the United States This is not a position for which sponsorship will be provided Individuals with temporary visas or who need sponsorship for work authorization now or in the future are not eligible for hire
No agency calls please
Compensation and Benefits
Crown offers an excellent wage and benefits package for fulltime employees including HealthDentalVisionPrescription Drug Plan Flexible Benefits Plan 401K Retirement Savings Plan Life and Disability Benefits Paid Holidays Paid Vacation Tuition Reimbursement and much more
EOAA Employer MinoritiesFemalesProtected VeteransDisabled"
